,Name of movie,Description,Age rate,Year,Runtime,Genre
316,Meet the Fockers,All hell breaks loose when the Byrnes family meets the Focker family for the first time.,PG-13,2004,115,"Comedy, Romance            "
317,There's Something About Mary,"A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster.",R,1998,119,"Comedy, Romance            "
318,Natural Born Killers,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,R,1994,118,"Action, Crime, Drama            "
319,Austin Powers in Goldmember,"Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember, who is working with Dr. Evil.",PG-13,2002,94,"Action, Adventure, Comedy            "
320,Eragon,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realizes he's the one person who can defend his home against an evil king.",PG,2006,104,"Action, Adventure, Family            "
321,Apollo 13,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,PG,1995,140,"Adventure, Drama, History            "
322,Be Cool,"Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music executive on the way.",PG-13,2005,118,"Comedy, Crime, Music            "
323,Grease 2,A British student at a 1960s American high school must prove himself to the leader of a girls' gang whose members can only date greasers.,PG,1982,115,"Comedy, Drama, Musical            "
324,Dodgeball: A True Underdog Story,A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,PG-13,2004,92,"Comedy, Sport            "
325,Dogma,An abortion clinic worker with a special heritage is called upon to save the existence of humanity from being negated by two renegade angels trying to exploit a loop-hole and reenter Heaven.,R,1999,130,"Adventure, Comedy, Drama            "
326,Signs,"A widowed former priest living with his children and brother on a Pennsylvania farm finds mysterious crop circles in their fields, which suggests something more frightening to come.",PG-13,2002,106,"Drama, Mystery, Sci-Fi            "
327,The Punisher,An undercover FBI agent becomes a vigilante and sets out to unleash his wrath upon the corrupt businessman who slaughtered his entire family at a reunion.,R,2004,124,"Action, Crime, Drama            "
328,Road Trip,Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.,R,2000,93,Comedy            
329,Bad Boys II,Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel.,R,2003,147,"Action, Comedy, Crime            "
330,The Prince and Me,"At college Paige meets Eddie, a fellow student from Denmark, whom she first dislikes but later accepts, likes, and loves; he proves to be Crown Prince Edvard. Paige follows him to Copenhagen, and he follows her back to school with a plan.",PG,2004,111,"Comedy, Family, Romance            "
331,The Royal Tenenbaums,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,R,2001,110,"Comedy, Drama            "
332,Evan Almighty,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,PG,2007,96,"Comedy, Family, Fantasy            "
333,The Others,A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,PG-13,2001,104,"Horror, Mystery, Thriller            "
334,The Golden Compass,"In a parallel universe, young Lyra Belacqua journeys to the far North to save her best friend and other kidnapped children from terrible experiments by a mysterious organization.",PG-13,2007,113,"Adventure, Family, Fantasy            "
335,The Untouchables,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him.",R,1987,119,"Crime, Drama, Thriller            "
336,The Longest Yard,Prison inmates form a football team to challenge the prison guards.,PG-13,2005,113,"Comedy, Crime, Sport            "
337,Chocolat,A French woman and her young daughter open up a chocolate shop in a small remote village that shakes up the rigid morality of the community.,PG-13,2000,121,"Drama, Romance            "
338,Donnie Brasco,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",R,1997,127,"Biography, Crime, Drama            "
339,Notting Hill,The life of a simple bookshop owner changes when he meets the most famous film star in the world.,PG-13,1999,124,"Comedy, Drama, Romance            "
340,"10,000 BC","In the prehistoric past, D'Leh is a mammoth hunter who bonds with the beautiful Evolet. When warriors on horseback capture Evolet and the tribesmen, D'Leh must embark on an odyssey to save his true love.",PG-13,2008,109,"Action, Adventure, Drama            "
341,Shrek the Third,"Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming.",PG,2007,93,"Animation, Adventure, Comedy            "
342,Finding Neverland,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,PG,2004,106,"Biography, Drama, Family            "
343,The Orphanage,"A woman brings her family back to her childhood home, which used to be an orphanage for handicapped children. Before long, her son starts to communicate with an invisible new friend.",R,2007,105,"Drama, Horror, Mystery            "
344,Big Daddy,"A lazy law school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.",PG-13,1999,93,"Comedy, Drama            "
345,A Series of Unfortunate Events,"When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune.",PG,2004,108,"Adventure, Comedy, Family            "
346,The Strangers,A young couple staying in an isolated vacation home are terrorized by three unknown assailants.,R,2008,86,"Horror, Mystery, Thriller            "
347,Alien: Resurrection,"200 years after her death, Ellen Ripley is revived as a powerful human/alien hybrid clone. Along with a crew of space pirates, she must again battle the deadly aliens and stop them from reaching Earth.",R,1997,109,"Action, Horror, Sci-Fi            "
348,The Hitchhiker's Guide to the Galaxy,"Mere seconds before the Earth is to be demolished by an alien construction crew, journeyman Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",PG,2005,109,"Adventure, Comedy, Sci-Fi            "
349,The Final Destination,A horrifying premonition saves a young man and his friends from death during a racetrack accident but terrible fates await them nonetheless.,R,2009,82,"Action, Horror, Thriller            "
350,Jackie Brown,"A flight attendant with a criminal past gets nabbed by the FBI for smuggling. Under pressure to become an informant against the drug dealer she works for, she must find a way to secure her future without getting killed.",R,1997,154,"Crime, Drama, Thriller            "
351,Anger Management,"Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor.",PG-13,2003,106,Comedy            
352,A Man Apart,A man known as Diablo emerges to head a drug cartel after the previous leader is imprisoned.,R,2003,109,"Action, Crime, Drama            "
353,Just Like Heaven,A lonely landscape architect falls for the spirit of the beautiful woman who used to live in his new apartment.,PG-13,2005,95,"Comedy, Drama, Fantasy            "
354,The Hot Chick,"An attractive and popular teenager, who is mean-spirited toward others, finds herself in the body of an older man, and must find a way to get back to her original body.",PG-13,2002,104,"Comedy, Fantasy            "
355,Batman & Robin,Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,PG-13,1997,125,"Action, Sci-Fi            "
356,Next,A Las Vegas magician who can see into the future is pursued by FBI agents seeking to use his abilities to prevent a nuclear terrorist attack.,PG-13,2007,96,"Action, Sci-Fi, Thriller            "
357,Blade: Trinity,"Blade, now a wanted man by the FBI, must join forces with the Nightstalkers to face his most challenging enemy yet: Dracula.",R,2004,113,"Action, Horror, Sci-Fi            "
358,Van Helsing,"The famed monster hunter is sent to Transylvania to stop Count Dracula, who is using Dr. Frankenstein's research and a werewolf for nefarious purposes.",PG-13,2004,131,"Action, Adventure, Fantasy            "
359,American Pie 2,"Jim and his friends are now in college, and they decide to meet up at the beach house for some fun.",R,2001,108,Comedy            
360,Monster,"Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer.",R,2003,109,"Biography, Crime, Drama            "
361,I Now Pronounce You Chuck & Larry,"Two straight, single Brooklyn firefighters pretend to be a gay couple in order to receive domestic partner benefits.",PG-13,2007,115,"Comedy, Romance            "
362,American Wedding,"It's the wedding of Jim and Michelle and the gathering of their families and friends, including Jim's old friends from high school and Michelle's little sister.",R,2003,96,Comedy            
363,Robin Hood: Prince of Thieves,"When Robin and his Moorish companion come to England and the tyranny of the Sheriff of Nottingham, he decides to fight back as an outlaw.",PG-13,1991,143,"Action, Adventure, Drama            "
364,The Parent Trap,"Identical twins Annie and Hallie, separated at birth and each raised by one of their biological parents, later discover each other for the first time at summer camp and make a plan to bring their wayward parents back together.",PG,1998,128,"Adventure, Comedy, Drama            "
365,Hostel,"Three backpackers head to a Slovak city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.",R,2005,94,Horror            
366,The Hills Have Eyes,A traveling family falls victim to a group of mutated cannibals in a desert far away from civilization.,R,2006,107,"Horror, Thriller            "
367,The Last of the Mohicans,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,R,1992,112,"Action, Adventure, Drama            "
368,Dragonball Evolution,"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",PG,2009,85,"Action, Adventure, Fantasy            "
369,The Amityville Horror,Newlyweds are terrorized by demonic forces after moving into a large house that was the site of a grisly mass murder a year before.,R,2005,90,Horror            
370,The Simpsons Movie,"After Homer pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",PG-13,2007,87,"Animation, Adventure, Comedy            "
371,Batman Returns,"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",PG-13,1992,126,"Action, Crime, Fantasy            "
372,White Chicks,Two disgraced FBI agents go way undercover in an effort to protect hotel heiresses the Wilson sisters from a kidnapping plot.,PG-13,2004,109,"Comedy, Crime            "
373,Shrek 2,"Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.",PG,2004,93,"Animation, Adventure, Comedy            "
374,Night at the Museum,A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.,PG,2006,108,"Adventure, Comedy, Family            "
375,The Wedding Singer,"Robbie, a singer, and Julia, a waitress, are both engaged, but to the wrong people. Fortune intervenes to help them discover each other.",PG-13,1998,97,"Comedy, Music, Romance            "
376,Bruce Almighty,A guy who complains about God too often is given almighty powers to teach him how difficult it is to run the world.,PG-13,2003,101,"Comedy, Fantasy            "
377,Spaceballs,A star-pilot for hire and his trusty sidekick must come to the rescue of a princess and save Planet Druidia from the clutches of the evil Spaceballs.,PG,1987,96,"Adventure, Comedy, Sci-Fi            "
378,The International,An Interpol agent attempts to expose a high-profile financial institution's role in an international arms dealing ring.,R,2009,118,"Action, Crime, Drama            "
379,Die Hard with a Vengeance,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.",R,1995,128,"Action, Adventure, Thriller            "
380,Austin Powers: The Spy Who Shagged Me,"Dr. Evil is back and has invented a new time machine that allows him to go back to the 1960s and steal Austin Powers' mojo, inadvertently leaving him ""shagless"".",PG-13,1999,95,"Action, Adventure, Comedy            "
381,Desperado,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,R,1995,104,"Action, Crime, Thriller            "
382,The Sweetest Thing,A girl finds she is forced to educate herself on the etiquette of wooing the opposite sex when she finally meets Mr. Right.,R,2002,84,"Comedy, Romance            "
383,Underworld: Evolution,"Picking up directly from the previous movie, vampire warrior Selene and the half werewolf Michael hunt for clues to reveal the history of their races and the war between them.",R,2006,106,"Action, Fantasy, Thriller            "
384,RoboCop,"In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories.",R,1987,102,"Action, Crime, Sci-Fi            "
385,The Mask,Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.,PG-13,1994,101,"Action, Comedy, Crime            "
386,Charlie's Angels,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",PG-13,2000,98,"Action, Adventure, Comedy            "
387,Black Dynamite,"Black Dynamite is the greatest African-American action star of the 1970s. When his only brother is killed by The Man, it's up to him to find justice.",R,2009,84,"Action, Comedy            "
388,Men in Black II,Agent Jay is sent to find Agent Kay and restore his memory after the re-appearance of a case from Kay's past.,PG-13,2002,88,"Action, Adventure, Comedy            "
389,Antz,A rather neurotic ant tries to break from his totalitarian society while trying to win the affection of the princess he loves.,PG,1998,83,"Animation, Adventure, Comedy            "
390,World Trade Center,Two Port Authority police officers become trapped under the rubble of the World Trade Center.,PG-13,2006,129,"Drama, History, Thriller            "
391,Shallow Hal,A shallow man falls in love with a 300-pound woman because of her inner beauty.,PG-13,2001,114,"Comedy, Drama, Fantasy            "
392,The Evil Dead,"Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons.",NC-17,1981,85,Horror            
393,Memoirs of a Geisha,Nitta Sayuri reveals how she transcended her fishing-village roots and became one of Japan's most celebrated geisha.,PG-13,2005,145,"Drama, Romance            "
394,About a Boy,"A cynical, immature young man is taught how to act like a grown-up by a little boy.",PG-13,2002,101,"Comedy, Drama, Romance            "
395,Die Another Day,"James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul, who is funding the development of an international space weapon.",PG-13,2002,133,"Action, Adventure, Thriller            "
396,The Lost World: Jurassic Park,"A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda.",PG-13,1997,129,"Action, Adventure, Sci-Fi            "
397,We Were Soldiers,"The story of the first major battle of the American phase of the Vietnam War, and the soldiers on both sides that fought it, while their wives wait nervously and anxiously at home for the good news or the bad news.",R,2002,138,"Action, Drama, History            "
398,Mortal Kombat: Annihilation,A group of martial arts warriors have only six days to save the Earth from an extra-dimensional invasion.,PG-13,1997,95,"Action, Adventure, Fantasy            "
399,Madagascar: Escape 2 Africa,"The Madagascar animals fly back to New York City, but crash-land on an African nature reserve, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.",PG,2008,89,"Animation, Adventure, Comedy            "
400,Walking Tall,"A former U.S. soldier returns to his hometown to find it overrun by crime and corruption, which prompts him to clean house.",PG-13,2004,86,"Action, Crime            "
401,Die Hard 2,"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C.",R,1990,124,"Action, Thriller            "
402,The Nightmare Before Christmas,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",PG,1993,76,"Animation, Family, Fantasy            "
403,Stargate,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",PG-13,1994,116,"Action, Adventure, Sci-Fi            "
404,Bridget Jones's Diary,Bridget Jones is determined to improve herself while she looks for love in a year in which she keeps a personal diary.,R,2001,97,"Comedy, Drama, Romance            "
405,From Hell,"In Victorian-era London, a troubled clairvoyant police detective investigates the murders of Jack the Ripper.",R,2001,122,"Horror, Mystery, Thriller            "
406,Daredevil,A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.,PG-13,2003,103,"Action, Crime            "
407,Lara Croft: Tomb Raider,Video game adventurer Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.,PG-13,2001,100,"Action, Adventure, Fantasy            "
408,Mission: Impossible,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",PG-13,1996,110,"Action, Adventure, Thriller            "
409,Jay and Silent Bob Strike Back,"The comic ""Bluntman and Chronic"" is based on real-life stoners Jay and Silent Bob, so when they get no profit from a big-screen adaptation, they set out to wreck the movie.",R,2001,104,Comedy            
410,The Terminal,"An Eastern European tourist unexpectedly finds himself stranded in JFK airport, and must take up temporary residence there.",PG-13,2004,128,"Comedy, Drama, Romance            "
411,Along Came Polly,A buttoned-up newlywed finds his strictly organized life descend into chaos when he falls in love with an old classmate.,PG-13,2004,90,"Comedy, Romance            "
412,The Devil's Rejects,"The murderous, backwoods Firefly family take to the road to escape the vengeful Sheriff Wydell, who is not afraid of being as ruthless as his target.",R,2005,107,"Crime, Horror, Western            "
413,District 13: Ultimatum,"Damien and Leito return to District 13 on a mission to bring peace to the troubled sector that is controlled by five different gang bosses, before the city's secret services take drastic measures to solve the problem.",R,2009,101,"Action, Crime, Thriller            "
414,The Mummy Returns,"The mummified body of Imhotep is shipped to a museum in London, where he once again wakes and begins his campaign of rage and terror.",PG-13,2001,130,"Action, Adventure, Fantasy            "
415,Alien 3,"After her last encounter, Ellen Ripley crash-lands on Fiorina 161, a maximum security prison. When a series of strange and deadly events occur shortly after her arrival, Ripley realizes that she has brought along an unwelcome visitor.",R,1992,114,"Action, Horror, Sci-Fi            "
416,Mrs. Doubtfire,"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife.",PG-13,1993,125,"Comedy, Drama, Family            "
417,The Dukes of Hazzard,"Cousins Bo, Luke, and Daisy Duke, and their uncle Jesse, egg on the authorities of Hazzard County, Boss Hogg and Sheriff Coltrane.",PG-13,2005,104,Comedy            
418,Clerks II,A calamity at Dante and Randal's shops sends them looking for new horizons - but they ultimately settle at the fast food empire Mooby's.,R,2006,97,Comedy            
419,The Abyss,A civilian diving team is enlisted to search for a lost nuclear submarine and faces danger while encountering an alien aquatic species.,PG-13,1989,140,"Adventure, Drama, Mystery            "
420,Scary Movie 2,Four teens are tricked by Professor Oldman (Tim Curry) into visiting a haunted house for a school project.,R,2001,83,Comedy            
421,Mary Poppins,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",G,1964,139,"Comedy, Family, Fantasy            "
422,Coach Carter,Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.,PG-13,2005,136,"Biography, Drama, Sport            "
423,Police Academy,"A group of good-hearted, but incompetent misfits enter the police academy, but the instructors there are not going to put up with their pranks.",R,1984,96,Comedy            
424,Cube,Six complete strangers with widely varying personalities are involuntarily placed in an endless maze containing deadly traps.,R,1997,90,"Drama, Horror, Mystery            "
425,Clerks,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",R,1994,92,Comedy            
426,Black Book,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.",R,2006,145,"Drama, Thriller, War            "
427,Final Destination 3,"Six years after students cheated death, another teen has a premonition she and her friends will be involved in an accident. When the vision proves true, the student and survivors deal with the repercussions of cheating the Grim Reaper.",R,2006,93,"Horror, Mystery, Thriller            "
428,Corpse Bride,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",PG,2005,77,"Animation, Drama, Family            "
429,The Texas Chainsaw Massacre,"After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a deformed chainsaw-wielding loon and his family of equally psychopathic killers.",R,2003,98,"Crime, Horror            "
430,Halloween,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",R,1978,91,"Horror, Thriller            "
431,What Lies Beneath,The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,PG-13,2000,130,"Drama, Horror, Mystery            "
432,Snakes on a Plane,"An FBI agent takes on a plane full of deadly venomous snakes, deliberately released to kill a witness being flown from Honolulu to Los Angeles to testify against a mob boss.",R,2006,105,"Action, Adventure, Crime            "
433,G-Force,A specially trained squad of guinea pigs is dispatched to stop a diabolical billionaire from taking over the world.,PG,2009,88,"Animation, Action, Adventure            "
434,The Black Dahlia,"Two policemen see their personal and professional lives fall apart in the wake of the ""Black Dahlia"" Elizabeth Short murder investigation.",R,2006,121,"Crime, Drama, Mystery            "
435,The World Is Not Enough,"James Bond uncovers a nuclear plot while protecting an oil heiress from her former kidnapper, an international terrorist who can't feel pain.",PG-13,1999,128,"Action, Adventure, Thriller            "
436,Rat Race,"A Las Vegas casino magnate, determined to find a new avenue for wagering, sets up a race for money.",PG-13,2001,112,"Action, Adventure, Comedy            "
437,Final Destination,"Alex Browning is among a group of high school students readying themselves for a trip to Europe. When he suddenly has a premonition their airplane will crash, he screams to warn the others but instead he is thrown off of the plane.",R,2000,98,"Horror, Thriller            "
438,Brüno,Flamboyant and gay Austrian Brüno looks for new fame in America.,R,2009,81,Comedy            
439,Jurassic Park III,"A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the island's new inhabitants.",PG-13,2001,92,"Action, Adventure, Sci-Fi            "
440,Disaster Movie,"Over the course of one evening, an unsuspecting group of twenty-somethings find themselves bombarded by a series of natural disasters and catastrophic events.",PG-13,2008,87,"Comedy, Sci-Fi            "
441,The Exorcism of Emily Rose,A lawyer takes on a negligent homicide case involving a priest who performed an exorcism on a young girl.,PG-13,2005,119,"Drama, Horror, Thriller            "
442,The Skeleton Key,A hospice nurse working at a spooky New Orleans plantation home finds herself entangled in a mystery involving the house's dark past.,PG-13,2005,104,"Drama, Horror, Mystery            "
443,Lethal Weapon,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,R,1987,109,"Action, Crime, Thriller            "
444,"Dude, Where's My Car?",Two potheads wake up after a night of partying and cannot remember where they parked their car.,PG-13,2000,83,"Comedy, Mystery, Sci-Fi            "
445,Over the Hedge,"A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating...and learns a lesson about family himself.",PG,2006,83,"Animation, Adventure, Comedy            "
446,Cheaper by the Dozen,"With his wife doing a book tour, a father of twelve must handle a new job and his unstable brood.",PG,2003,98,"Comedy, Family            "
447,13 Going on 30,"A girl makes a wish on her thirteenth birthday, and wakes up the next day as a thirty-year-old woman.",PG-13,2004,98,"Comedy, Fantasy, Romance            "
448,Planet of the Apes,"An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.",G,1968,112,"Adventure, Sci-Fi            "
449,Jumanji,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.",PG,1995,104,"Adventure, Comedy, Family            "
450,Deep Impact,"A comet is discovered to be on a collision course with Earth. As doomsday nears, the human race prepares for the worst.",PG-13,1998,120,"Action, Drama, Sci-Fi            "
451,Pocahontas,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,G,1995,81,"Animation, Adventure, Drama            "
452,Wild Hogs,"A group of suburban biker wannabes looking for adventure hit the open road, but get more than they bargained for when they encounter a New Mexico gang called the Del Fuegos.",PG-13,2007,100,"Action, Adventure, Comedy            "
453,Alice in Wonderland,Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.,G,1951,75,"Animation, Adventure, Comedy            "
454,Four Rooms,Four interlocking tales that take place in a fading hotel on New Year's Eve.,R,1995,98,Comedy            
455,The Ruins,"A leisurely Mexican holiday takes a turn for the worse when a group of friends and a fellow tourist embark on a remote archaeological dig in the jungle, where something evil lives among the ruins.",R,2008,90,"Adventure, Fantasy, Horror            "
456,Happy Feet,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",PG,2006,108,"Animation, Adventure, Comedy            "
457,Mission: Impossible II,"IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".",PG-13,2000,123,"Action, Adventure, Thriller            "
458,Elf,"Raised as an over-sized elf, a human travels from the North Pole to NYC to meet his biological father who doesn't know he exists and is in desperate need of some Christmas spirit.",PG,2003,97,"Adventure, Comedy, Family            "
459,The Hills Have Eyes 2,A group of National Guard trainees find themselves battling against a vicious group of mutants on their last day of training in the desert.,R,2007,89,"Horror, Thriller            "
460,What Women Want,"A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking.",PG-13,2000,127,"Comedy, Fantasy, Romance            "
461,Winter in Wartime,"In the Nazi-occupied Netherlands, a teenage boy gets involved in the Dutch Resistance after coming to the aid of a wounded RAF pilot.",R,2008,103,"Drama, History, War            "
462,Dreamcatcher,Friends on a camping trip discover that the town they're vacationing in is being plagued in an unusual fashion by parasitic aliens from outer space.,R,2003,134,"Drama, Horror, Sci-Fi            "
463,Epic Movie,"A spoof on previous years' epic movies (The Da Vinci Code (2006), The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005) + 20 more), TV series, music videos and celebs. 4 orphans are on an epic adventure.",PG-13,2007,86,"Adventure, Comedy, Fantasy            "
464,Gremlins,A young man inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.,PG,1984,106,"Comedy, Fantasy, Horror            "
465,Miss Congeniality,An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.,PG-13,2000,109,"Action, Comedy, Crime            "
466,John Q,John Quincy Archibald takes a hospital emergency room hostage when his insurance won't cover his son's heart transplant.,PG-13,2002,116,"Crime, Drama, Thriller            "
467,Spy Kids,"Using high tech gadgets, two kids have to save their reactivated OSS top spy parents when they're taken by an evil, high tech enemy.",PG,2001,88,"Action, Adventure, Comedy            "
468,Saw II,A detective and his team must rescue 8 people trapped in a factory by the twisted serial killer known as Jigsaw.,R,2005,93,"Horror, Mystery            "
469,Did You Hear About the Morgans?,"In New York City, an estranged couple who witness a murder are relocated to small town Wyoming as part of the Witness Protection Program.",PG-13,2009,103,"Comedy, Drama, Romance            "
470,DOA: Dead or Alive,"The world's best fighters are invited to DOA, an invitational martial arts contest. There, four female rival fighters will have to work together to uncover the secret that the organizer of the tournament is trying to hide.",PG-13,2006,87,"Action, Adventure, Mystery            "
471,Catwoman,"A shy woman, endowed with the speed, reflexes, and senses of a cat, walks a thin line between criminal and hero, even as a detective doggedly pursues her, fascinated by both of her personas.",PG-13,2004,104,"Action, Crime, Fantasy            "
472,Scary Movie 3,"Cindy must investigate mysterious crop circles and video tapes, and help the President in preventing an alien invasion.",PG-13,2003,84,Comedy            
473,Freaky Friday,"An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.",PG,2003,97,"Comedy, Family, Fantasy            "
474,Beverly Hills Cop,A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.,R,1984,105,"Action, Comedy, Crime            "
475,Aliens vs. Predator: Requiem,"Warring Alien and Predator races descend on a rural Colorado town, where unsuspecting residents must band together for any chance of survival.",R,2007,94,"Action, Horror, Sci-Fi            "
476,Tomorrow Never Dies,James Bond sets out to stop a media mogul's plan to induce war between China and the UK in order to obtain exclusive global media coverage.,PG-13,1997,119,"Action, Adventure, Thriller            "
477,Alien vs. Predator,"During an archaeological expedition on Bouvetøya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.",PG-13,2004,101,"Action, Adventure, Horror            "
478,What a Girl Wants,"An American teenager learns that her father is a wealthy British politician running for office. Although she is eager to find him, she realizes it could cause a scandal and cost him the election.",PG,2003,105,"Comedy, Drama, Family            "
479,Evil Dead II,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.,R,1987,84,"Comedy, Horror            "
480,My Bloody Valentine,"Tom returns to his hometown on the tenth anniversary of the Valentine's night massacre that claimed the lives of 22 people. Instead of a homecoming, Tom finds himself suspected of committing the murders, and it seems like his old flame is the only one that believes he's innocent.",R,2009,101,"Horror, Mystery, Thriller            "
481,Passengers,A grief counselor working with a group of plane-crash survivors finds herself at the root of a mystery when her clients begin to disappear.,PG-13,2008,93,"Mystery, Romance, Thriller            "
482,I Know What You Did Last Summer,Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.,R,1997,101,"Horror, Mystery            "
